Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
425	425	007C	6C84	168E	00E9	FF2A	004D	
426	426	007D	63CC	1C70	00EA	FEB7	011D	
427	427	007E	5E0C	0103	00EB	0357	0136	
428	428	007F	5BFC	4581	00EC	0022	018B	
429	429	0080	5DD0	7B07	00ED	FFFD	0142	
430	430	0081	6350	62DD	00EE	008E	011A	
431	431	0082	6BFC	4DC7	00EF	004E	FF65	
432	432	0083	76C4	5C67	00F0	FD60	021A	
433	433	0084	0278	5EDA	00F1	FA84	01BB	
434	434	0085	0DFE	54F6	00F2	FB86	0104	
435	435	0086	180C	6E00	00F3	06BA	0180	
436	436	0087	1F86	68FA	00F4	063E	0268	
437	437	0088	2396	74A8	00F5	0241	0169	
438	438	0089	23CA	0FD6	00F6	FFB2	00BE	
439	439	008A	2002	0962	00F7	FF51	00F4	
440	440	008B	18D0	1024	00F8	0030	0233	
441	441	008C	0F0E	236A	00F9	FFE1	02B2	
442	442	008D	03AE	22E2	00FA	FDAB	0087	
443	443	008E	77E4	0E9E	00FB	01DD	01AB	
444	444	008F	6CF0	172E	00FC	0168	01AD	
445	445	0090	63EE	1D24	00FD	007F	01AC	
446	446	0091	5E0E	019D	00FE	FD92	0129	
447	447	0092	5BEC	45F3	00FF	0170	0280	
448	448	0093	5DB2	7B69	0000	7F09	7E51	
449	449	0094	62FE	6325	0001	FF3D	F7B6	
450	450	0095	6B6A	6E09	0002	0092	FE54	
451	451	0096	762A	5C8B	0003	FF5D	FCCA	
452	452	0097	0208	5EE6	0004	FE50	FD36	
453	453	0098	0DAC	54C4	0005	FEFD	FC4F	
454	454	0099	17C0	6D86	0006	FD69	FC43	
455	455	009A	1F48	683A	0007	FD98	FA7D	
456	456	009B	2358	13DA	0008	FDBB	F991	
457	457	009C	23AA	0F2C	0009	FD25	F8D2	
458	458	009D	203A	08CC	000A	FCD3	F8E8	
459	459	009E	1958	1FBE	000B	F93B	F336	
